fr_Nhpyrrole,fr_SH,fr_amide,fr_benzene,fr_bicyclic,fr_guanido,fr_imidazole,fr_para_hydroxylation,fr_phenol,fr_sulfide,AvgIpc,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxAbsEStateIndex,MaxEStateIndex,MinEStateIndex
0,0,4,0,0,0,0,0,0,0,2.795583533835427,0.7428571428571429,1.228571428571429,1.657142857142857,12.72034123834719,12.72034123834719,-1.608480229224902
0,0,7,0,0,1,0,0,0,0,3.158812632931589,0.6379310344827587,1.086206896551724,1.551724137931034,13.89936434384226,13.89936434384226,-1.666867033424503
1,0,9,0,0,0,1,0,0,0,4.054020997170126,0.7162162162162162,1.27027027027027,1.77027027027027,14.08397429802729,14.08397429802729,-1.956075208017993
0,0,9,0,0,0,0,0,0,0,3.168828494720216,0.4444444444444444,0.7936507936507936,1.19047619047619,13.61745394537202,13.61745394537202,-1.856258690109531
0,0,11,0,0,0,0,0,0,0,3.998730613647171,0.547945205479452,1.0,1.438356164383562,14.20893189366741,14.20893189366741,-1.706638511072523
0,0,10,0,0,0,0,0,0,0,4.090068583749875,0.5942028985507246,1.072463768115942,1.579710144927536,14.44761431841159,14.44761431841159,-1.705750363564943
0,0,16,1,0,1,0,0,0,0,1.616957356224548,0.4344262295081967,0.8278688524590164,1.254098360655738,14.97508454420761,14.97508454420761,-1.426065445796722
0,0,9,2,0,0,0,0,2,0,3.894223607159113,0.6025641025641025,1.076923076923077,1.58974358974359,14.40517187386831,14.40517187386831,-1.655015243315396
0,0,14,0,0,0,0,0,0,0,0.9207231669799117,0.4210526315789473,0.7789473684210526,1.2,14.14601041624366,14.14601041624366,-1.967014358113315
0,0,5,1,0,0,0,0,1,0,2.903905633258222,0.7142857142857143,1.261904761904762,1.761904761904762,13.25178581432473,13.25178581432473,-1.232450141221974
1,0,12,0,0,0,1,0,0,0,1.801942849256277,0.4845360824742268,0.8762886597938144,1.319587628865979,14.89103901115509,14.89103901115509,-1.861855780921071
0,1,5,0,0,0,0,0,0,0,2.798934238584043,0.7297297297297297,1.27027027027027,1.756756756756757,12.42205325041454,12.42205325041454,-1.563429308936614
0,1,7,0,0,0,0,0,0,1,3.191884247054996,0.5967741935483871,1.032258064516129,1.483870967741935,13.84910032951446,13.84910032951446,-1.910965969476914
0,0,8,0,0,0,0,0,0,0,3.974436417482601,0.6666666666666666,1.216666666666667,1.733333333333333,13.79323358758981,13.79323358758981,-1.690303307286081
